label,n_total,n_ok,n_mr,wins,losses,wr,mean_roi,median_roi,mean_ep,breakeven_wr,vs_breakeven,mean_clv,mean_conf,confidence_label,proof_eligible_n,legacy_pct,proof_mix,note
pce:0.06-0.10,11,11,10,9,2,0.8182,0.2063,0.35,0.6309,0.6309,0.1873,-0.02,0.7111,weak exploratory,0,0.909,"{""LEGACY_OR_INCOMPLETE"": 10, ""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 1}",
pce:>0.10,5,5,4,0,5,0.0,-0.8022,-1.0,0.1244,0.1244,-0.1244,-0.1705,0.7066,very weak,0,1.0,"{""LEGACY_OR_INCOMPLETE"": 5}",
mom:5m_neg_mild,2,2,2,0,2,0.0,-1.0,-1.0,0.63,0.63,-0.63,-0.63,0.7025,useless/anecdotal,0,0.0,"{""BOOTSTRAP_PROVISIONAL_EXCLUDED"": 2}",confounded by prefix (all crypto-joined rows are KXBTCD/KXETHD)
mom:5m_flat,25,25,20,16,9,0.64,-0.1024,0.15,0.6624,0.6624,-0.0224,0.0072,0.7296,weak exploratory,1,0.36,"{""LEGACY_OR_INCOMPLETE"": 9, ""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 10, ""BOOTSTRAP_PROVISIONAL_EXCLUDED"": 5, ""BOOTSTRAP_ERA_ALLOW_COUNTS_NORMAL"": 1}",confounded by prefix (all crypto-joined rows are KXBTCD/KXETHD)
mom:5m_pos_mild,6,6,6,6,0,1.0,0.3417,0.365,0.6583,0.6583,0.3417,0.33,0.7375,very weak,1,0.5,"{""LEGACY_OR_INCOMPLETE"": 3, ""BOOTSTRAP_PROVISIONAL_EXCLUDED"": 2, ""BOOTSTRAP_ERA_ALLOW_COUNTS_NORMAL"": 1}",confounded by prefix (all crypto-joined rows are KXBTCD/KXETHD)
mom:15m_neg_mild,8,8,6,3,5,0.375,-0.405,-0.525,0.6637,0.6637,-0.2887,-0.2267,0.7302,very weak,0,0.25,"{""LEGACY_OR_INCOMPLETE"": 2, ""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 3, ""BOOTSTRAP_PROVISIONAL_EXCLUDED"": 3}",confounded by prefix (all crypto-joined rows are KXBTCD/KXETHD)
mom:15m_flat,14,14,11,9,5,0.6429,-0.1207,0.135,0.6629,0.6629,-0.02,-0.012,0.7395,weak exploratory,1,0.357,"{""LEGACY_OR_INCOMPLETE"": 5, ""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 5, ""BOOTSTRAP_PROVISIONAL_EXCLUDED"": 3, ""BOOTSTRAP_ERA_ALLOW_COUNTS_NORMAL"": 1}",confounded by prefix (all crypto-joined rows are KXBTCD/KXETHD)
mom:15m_pos_mild,10,10,10,9,1,0.9,0.2,0.365,0.66,0.66,0.24,0.1914,0.7209,weak exploratory,1,0.4,"{""LEGACY_OR_INCOMPLETE"": 4, ""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 2, ""BOOTSTRAP_PROVISIONAL_EXCLUDED"": 3, ""BOOTSTRAP_ERA_ALLOW_COUNTS_NORMAL"": 1}",confounded by prefix (all crypto-joined rows are KXBTCD/KXETHD)
spread:tight_<0.05,37,37,31,24,13,0.6486,-0.0765,0.2,0.6511,0.6511,-0.0024,-0.0312,0.7178,moderate research signal,2,0.432,"{""LEGACY_OR_INCOMPLETE"": 16, ""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 10, ""BOOTSTRAP_PROVISIONAL_EXCLUDED"": 9, ""BOOTSTRAP_ERA_ALLOW_COUNTS_NORMAL"": 2}",
spread:mod_0.05-0.10,3,3,3,1,2,0.3333,-0.5633,-1.0,0.2633,0.2633,0.07,,0.7077,useless/anecdotal,0,1.0,"{""LEGACY_OR_INCOMPLETE"": 3}",
spread:wide_>0.10,1,1,0,0,1,0.0,-0.02,-0.02,0.79,0.79,-0.79,-0.02,0.839,useless/anecdotal,0,0.0,"{""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 1}",
midgap:model_above_mid_>+0.05,4,4,4,3,1,0.75,-0.0175,0.27,0.6,0.6,0.15,0.15,0.7055,useless/anecdotal,0,0.25,"{""LEGACY_OR_INCOMPLETE"": 1, ""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 1, ""BOOTSTRAP_PROVISIONAL_EXCLUDED"": 2}",
midgap:near_fair_-0.05_to_+0.05,34,34,27,22,12,0.6471,-0.0432,0.215,0.6265,0.6265,0.0206,0.0333,0.7215,moderate research signal,2,0.529,"{""LEGACY_OR_INCOMPLETE"": 18, ""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 9, ""BOOTSTRAP_PROVISIONAL_EXCLUDED"": 5, ""BOOTSTRAP_ERA_ALLOW_COUNTS_NORMAL"": 2}",
midgap:model_below_mid_<-0.05,3,3,3,0,3,0.0,-1.0,-1.0,0.6567,0.6567,-0.6567,-0.6567,0.7227,useless/anecdotal,0,0.0,"{""BOOTSTRAP_PROVISIONAL_EXCLUDED"": 2, ""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 1}",
